bbl,project_name,buildings,res_units,owner_name,year_built,standard_address,agency_name,program_name,start_date,end_date,Neighborhood,assessed_value,Neighborhood population,Neighborhood income,Neighborhood racial diversity,Serious Hazard Violation 2017,Tax delinquency 2016
1019450005,HARLEM WEST III,1,28,353-365 HSG DEV FUND,1901,365 West 118 Street,U.S. Department of Housing and Urban Development,Loan Management Set-Aside,2011,2031,Central Harlem,"$825,750","143,487","$46,537",37.44%,,
1019450007,HARLEM WEST III,1,21,"353-365 HDFC, INC.",1901,357 West 118 Street,U.S. Department of Housing and Urban Development,Loan Management Set-Aside,2011,2031,Central Harlem,"$1,013,400","143,487","$46,537",37.44%,1,
1019450009,Harlem West III,1,21,"353-365 HDFC, INC",1901,353 West 118 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2013,,Central Harlem,"$1,013,400","143,487","$46,537",37.44%,1,
1019440018,Harlem West IV,1,58,400-408 HSG DEV FUNDC,1901,400 Manhattan Avenue,NYC Department of Housing Preservation and Development,Multi-Family Program,2013,,Central Harlem,"$3,717,450","143,487","$46,537",37.44%,,
1019440045,HARLEM WEST IV,1,35,400-408 HSG DEV FUNDC,1910,408 Manhattan Avenue,U.S. Department of Housing and Urban Development,Loan Management Set-Aside,2011,2031,Central Harlem,"$1,920,600","143,487","$46,537",37.44%,1,
1003820001,HAVEN PLAZA,6,371,HAVEN PLAZA HOUSING D,1966,188 Avenue C,U.S. Department of Housing and Urban Development,Loan Management Set-Aside,2011,2031,Lower East Side/Chinatown,"$13,132,800","159,296","$42,014",72.15%,1,1
1003820022,HAVEN PLAZA SQUARE,4,,ST EMERIC R C CHURCH,1953,181 Avenue D,NYC Department of Housing Preservation and Development,LIHTC 4%,2012,2042,Lower East Side/Chinatown,"$4,640,850","159,296","$42,014",72.15%,,1
1017180069,HCCI 2,3,8,NORTHERN MANHATTAN EQ,1909,196 Lenox Avenue,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$54,082","143,487","$46,537",37.44%,,
1019030029,HCCI 2,1,13,NORTHERN MANHATTAN EQ,1930,161 Lenox Avenue,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$493,200","143,487","$46,537",37.44%,1,
1019040059,HCCI 2,1,12,NME HOUSING DEVELOPME,1910,166 West 120 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$427,950","143,487","$46,537",37.44%,,1
1019060064,HCCI 2,1,12,NME HOUSING DEVELOPME,1910,2031 Adam C Powell Blvd,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$655,650","143,487","$46,537",37.44%,1,
1020260020,HCCI 2,1,15,NME HOUSING DEVELOPME,1920,215 West 140 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$348,300","143,487","$46,537",37.44%,,
1020260022,HCCI 2,1,16,NME HOUSING DEVELOPME,1920,213 West 140 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$327,150","143,487","$46,537",37.44%,,
1020260023,HCCI 2,1,10,NME HOUSING DEVELOPME,1920,211 West 140 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$453,076","143,487","$46,537",37.44%,1,
1020260026,HCCI 2,1,10,NORTHERN MANHATTAN EQ,1920,205 West 140 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$443,508","143,487","$46,537",37.44%,1,
1020260027,HCCI 2,1,15,NME HOUSING DEVELOPME,1920,203 West 140 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$356,400","143,487","$46,537",37.44%,1,
1020260029,HCCI 2,1,54,NME HOUSING DEVELOPME,1905,2400 Adam C Powell Blvd,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$1,030,500","143,487","$46,537",37.44%,1,
1020310018,HCCI 2,1,25,NME HOUSING DEVELOPME,1920,223 West 145 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$311,850","143,487","$46,537",37.44%,1,
1020320043,HCCI 2,1,41,NORTHERN MANHATTAN EQ,1920,210 West 147 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$729,450","143,487","$46,537",37.44%,1,1
1020450096,HCCI 2,2,9,NORTHERN MANHATTAN EQ,1910,2817 8 Avenue,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$1,006,650","143,487","$46,537",37.44%,1,
1020450097,HCCI 2,1,7,NME HOUSING DEVELOPME,1910,302 West 150 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$308,082","143,487","$46,537",37.44%,,
1020450100,HCCI 2,1,18,NORTHERN MANHATTAN EQ,1910,308 West 150 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$611,100","143,487","$46,537",37.44%,,
1020460007,HCCI 2,1,44,NORTHERN MANHATTAN EQ,1910,2819 8 Avenue,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$668,700","143,487","$46,537",37.44%,1,
1020460063,HCCI 2,2,67,NME HOUSING DEVELOPME,1910,2861 8 Avenue,NYC Department of Housing Preservation and Development,LIHTC Year 15,2014,,Central Harlem,"$1,522,350","143,487","$46,537",37.44%,1,
1018230018,HCCI 2 Phase II,1,53,NME II HOUSING DVMT F,1915,60 St Nicholas Avenue,NYC Department of Housing Preservation and Development,LIHTC Year 15,2015,,Central Harlem,"$711,450","143,487","$46,537",37.44%,1,
1020330018,HCCI PORTFOLIO (WEST 147TH STREET),1,15,WEST 147TH STREET APA,1920,215 West 147 Street,NYC Department of Housing Preservation and Development,LIHTC 4%,2012,2042,Central Harlem,"$209,700","143,487","$46,537",37.44%,,
1020330020,HCCI PORTFOLIO (WEST 147TH STREET),1,15,WEST 147TH STREET APA,1920,213 West 147 Street,NYC Department of Housing Preservation and Development,LIHTC 4%,2012,2042,Central Harlem,"$209,700","143,487","$46,537",37.44%,,
1020330023,HCCI PORTFOLIO (WEST 147TH STREET),1,11,WEST 147TH STREET APA,1920,209 West 147 Street,NYC Department of Housing Preservation and Development,LIHTC 4%,2012,2042,Central Harlem,"$332,100","143,487","$46,537",37.44%,,
1020380005,HCCI PORTFOLIO (WEST 152ND STREET),1,35,HARLEM SHANGRI -LA HO,1920,263 West 152 Street,NYC Department of Housing Preservation and Development,LIHTC 4%,2012,2042,Central Harlem,"$549,900","143,487","$46,537",37.44%,1,
1009310001,HENRY PHIPPS PLAZA SOUTH,2,404,HENRY PHIPPS PZA STH,1970,444 2 Avenue,U.S. Department of Housing and Urban Development,Loan Management Set-Aside,2006,2026,Stuyvesant Town/Turtle Bay,"$30,866,850","141,162","$112,562",40.09%,1,
1004170001,HERNANDEZ,1,149,NYC CITY HSG AUTRHORI,1970,224 Eldridge Street,New York City Housing Authority,Federal Public Housing,1971,,Lower East Side/Chinatown,"$17,194,050","159,296","$42,014",72.15%,,
1019880016,HFA #11,1,25,519 W 134TH ST LLC,1905,519 West 134 Street,NYS Division of Housing and Community Renewal,LIHTC 9%,1995,2025,Morningside Heights/Hamilton Heights,"$728,100","125,195","$49,994",68.95%,1,
1016740010,HOBBS COURT,2,259,NYC HOUSING DEVELOPME,2010,315 East 102 Street,NYC Department of Housing Preservation and Development,LIHTC 4%,2011,2041,East Harlem,"$18,125,550","134,279","$35,097",59.31%,1,
1015730020,HOLMES TOWERS,2,537,NYC HOUSING AUTHORITY,1968,1780 1 Avenue,New York City Housing Authority,Federal Public Housing,1969,,Upper East Side,"$14,403,150","219,004","$119,261",30.87%,,
1020767501,HOMEWORKS III MANHATTAN B,1,5,,1900,539 West 144 Street,NYC Department of Housing Preservation and Development,Other HPD Programs,2005,,Morningside Heights/Hamilton Heights,"$244,558","125,195","$49,994",68.95%,,
1016140058,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,1,15,HAARLEM MEER LIMITEDP,1920,24 East 109 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2016,,East Harlem,"$226,350","134,279","$35,097",59.31%,,
1016140060,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,1,15,HAARLEM MEER LIMITEDP,1920,22 East 109 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2016,,East Harlem,"$359,100","134,279","$35,097",59.31%,1,
1016140062,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,1,9,NEW FRONTIERS 2 HOPE,1920,18 East 109 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2016,,East Harlem,"$383,202","134,279","$35,097",59.31%,,
1016150009,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,1,24,HAARLEM MEER LIMITEDP,1925,11 East 109 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2016,,East Harlem,"$342,900","134,279","$35,097",59.31%,1,
1016150010,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,1,21,HAARLEM MEER LIMITEDP,1925,15 East 109 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2016,,East Harlem,"$290,250","134,279","$35,097",59.31%,1,
1016660041,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,1,14,CASA COMUNAL HSG DVLP,1910,212 East 117 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2016,,East Harlem,"$1,151,550","134,279","$35,097",59.31%,1,
1017720013,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,1,22,NEW HAARLEM VILLAGEII,1920,129 East 123 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2016,,East Harlem,"$223,200","134,279","$35,097",59.31%,1,
1017720150,HOPE EAST OF FIFTH HDFC INC.YR15.FY17,1,8,HOPE CROSSROADS HOUSI,1900,154 East 124 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2016,,East Harlem,"$171,110","134,279","$35,097",59.31%,,
1014820020,HOSPITAL FOR SPECIAL SURGERY,1,,NEW YORK SOCIETY ETC,1955,527 F D R Drive,U.S. Department of Housing and Urban Development,Other HUD Financing,2005,2031,Upper East Side,"$50,037,750","219,004","$119,261",30.87%,,
1018250029,HOUSING FOR FAMILIES PHASE II,1,31,101-09 WEST 115TH STR,1920,103 Lenox Avenue,NYC Department of Housing Preservation and Development,LIHTC 9%,2001,2031,Central Harlem,"$1,063,350","143,487","$46,537",37.44%,,
1018590015,HP 109TH STREET HDFC.HUDMF.FY17,1,28,MANHATTAN AVE REDVLPM,1950,133 West 104 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Upper West Side,"$2,191,950","189,492","$113,448",49.24%,1,
1020537501,HUD 203K - MANHATTAN A,1,5,,1920,714 St Nicholas Avenue,NYC Department of Housing Preservation and Development,Other HPD Programs,2005,,Morningside Heights/Hamilton Heights,"$29,876","125,195","$49,994",68.95%,,
1020720030,HUDSON PIERS REHAB-PHASE II,1,54,141ST STREET ASSOCIAT,1920,1626 Amsterdam Avenue,U.S. Department of Housing and Urban Development,Project-Based Section 8,2010,2030,Morningside Heights/Hamilton Heights,"$2,403,900","125,195","$49,994",68.95%,,
1020730029,HUDSON PIERS REHAB-PHASE II,1,29,141ST ST ASSOC,1920,1640 Amsterdam Avenue,U.S. Department of Housing and Urban Development,Project-Based Section 8,2010,2030,Morningside Heights/Hamilton Heights,"$1,346,850","125,195","$49,994",68.95%,1,
1022260045,ICARUS APARTMENTS,2,41,ICARUS ASSOCIATES,1926,611 West 204 Street,U.S. Department of Housing and Urban Development,Project-Based Section 8,2015,2020,Washington Heights/Inwood,"$1,534,500","238,759","$53,049",42.53%,,1
1016000021,IMPAC HOUSES,1,120,WEST 116TH ST. ASSOCI,1983,5 West 116 Street,U.S. Department of Housing and Urban Development,Project-Based Section 8,2008,2029,Central Harlem,"$8,310,150","143,487","$46,537",37.44%,1,
1012240058,INDEPENDENCE HOUSE.PLP.FY18,1,121,INDEPENDENCE HOUSE AS,1967,168 West 94 Street,NYC Department of Housing Preservation and Development,Participation Loan Program,2017,,Upper West Side,"$4,429,800","189,492","$113,448",49.24%,,
1021700520,INWOOD GARDENS,1,218,INWOOD GARDENS INC,1963,45 Fairview Avenue,NYS Division of Housing and Community Renewal,Mitchell-Lama,1963,2024,Washington Heights/Inwood,"$9,935,100","238,759","$53,049",42.53%,,
1021700131,INWOOD HEIGHTS,1,204,INWOOD HEIGHTS INC,1961,1705 Ft George Hill,NYS Division of Housing and Community Renewal,Mitchell-Lama,1962,2049,Washington Heights/Inwood,"$8,150,000","238,759","$53,049",42.53%,,
1022200043,INWOOD HOUSE,1,95,INWOOD ASSOCIATES,1922,10 Post Avenue,U.S. Department of Housing and Urban Development,Section 223(f),2011,2046,Washington Heights/Inwood,"$3,299,400","238,759","$53,049",42.53%,,1
1021700129,INWOOD TOWER,1,169,INWOOD TOWERS,1963,11 Ft George Hill,NYS Division of Housing and Community Renewal,Mitchell-Lama,,,Washington Heights/Inwood,"$10,300,950","238,759","$53,049",42.53%,,
1015730001,ISAACS,4,636,NYC HOUSING AUTHORITY,1964,1810 1 Avenue,New York City Housing Authority,Federal Public Housing,1965,,Upper East Side,"$23,659,200","219,004","$119,261",30.87%,,
1021600001,ISABELLA GERIATRIC CENTER,2,,ISABELLA GERIATRIC ET,1973,515 Audubon Avenue,U.S. Department of Housing and Urban Development,Other HUD Financing,2014,2029,Washington Heights/Inwood,"$31,361,850","238,759","$53,049",42.53%,,
1010330161,IVY TOWERS,1,6,"42/9 RESIDENTIAL,",1920,598 9 Avenue,NYS Housing Finance Agency,LIHTC 4%,2002,2032,Chelsea/Clinton/Midtown,"$380,541","140,247","$103,538",55.39%,,
1016450012,"Jamie's Place I, II, III",1,35,JAMIES' PLACE LLC,1920,127 East 117 Street,U.S. Department of Housing and Urban Development,Loan Management Set-Aside,2014,2034,East Harlem,"$1,455,300","134,279","$35,097",59.31%,,
1016450059,"Jamie's Place I, II, III",1,18,JAMIES' PLACE LLC,1950,126 East 118 Street,U.S. Department of Housing and Urban Development,Loan Management Set-Aside,2014,2034,East Harlem,"$813,600","134,279","$35,097",59.31%,,
1017670060,"Jamie's Place I, II, III",1,21,JAMIES' PLACE LLC,1910,132 East 119 Street,U.S. Department of Housing and Urban Development,Loan Management Set-Aside,2014,2034,East Harlem,"$854,550","134,279","$35,097",59.31%,1,
1017680001,"Jamie's Place I, II, III",1,33,JAMIES' PLACE LLC,1920,101 East 119 Street,U.S. Department of Housing and Urban Development,Loan Management Set-Aside,2014,2034,East Harlem,"$1,206,900","134,279","$35,097",59.31%,,
1017680007,"Jamie's Place I, II, III",1,20,JAMIES' PLACE LLC,1910,115 East 119 Street,U.S. Department of Housing and Urban Development,Loan Management Set-Aside,2014,2034,East Harlem,"$819,000","134,279","$35,097",59.31%,,
1016620001,JEFFERSON,7,689,NYC HOUSING AUTHORITY,1958,2055 3 Avenue,New York City Housing Authority,Federal Public Housing,1959,,East Harlem,"$22,836,600","134,279","$35,097",59.31%,,
1016620016,JEFFERSON,1,108,N Y C H A,1963,2183 2 Avenue,New York City Housing Authority,Federal Public Housing,1959,,East Harlem,"$4,920,300","134,279","$35,097",59.31%,,
1016840001,JEFFERSON,11,1493,NYC HOUSING AUTHORITY,1959,2178 2 Avenue,New York City Housing Authority,Federal Public Housing,1959,,East Harlem,"$28,728,450","134,279","$35,097",59.31%,,
1012250029,Jefferson Towers,1,195,JEFFERSON TOWERS CORP,1968,700 Columbus Avenue,NYC Department of Housing Preservation and Development,Multi-Family Program,2005,,Upper West Side,"$19,767,600","189,492","$113,448",49.24%,,
1017550024,JELB 130,1,24,"JELB 130, LIMITED PAR",1926,53 East 130 Street,NYC Department of Housing Preservation and Development,LIHTC 4%,1998,2028,Central Harlem,"$576,450","143,487","$46,537",37.44%,1,
1020120039,JOHANNA I,1,15,104-110 WEST 144 STRE,1920,104 West 144 Street,U.S. Department of Housing and Urban Development,Loan Management Set-Aside,2014,2034,Central Harlem,"$783,000","143,487","$46,537",37.44%,1,
1020120041,JOHANNA I,1,15,104-110 WEST 144 STRE,1920,106 West 144 Street,U.S. Department of Housing and Urban Development,Loan Management Set-Aside,2014,2034,Central Harlem,"$798,300","143,487","$46,537",37.44%,,
1020120042,JOHANNA I,1,15,104-110 WEST 144 STRE,1920,108 West 144 Street,U.S. Department of Housing and Urban Development,Loan Management Set-Aside,2014,2034,Central Harlem,"$792,450","143,487","$46,537",37.44%,1,
1020120044,JOHANNA I,1,15,104-110 WEST 144 STRE,1920,110 West 144 Street,U.S. Department of Housing and Urban Development,Loan Management Set-Aside,2014,2034,Central Harlem,"$787,500","143,487","$46,537",37.44%,,
1020260033,JOHN PAUL II APARTMENTS,1,69,SOUTHWEST 141ST ST HD,1992,202 West 141 Street,U.S. Department of Housing and Urban Development,Section 223(f),2016,2051,Central Harlem,"$3,772,350","143,487","$46,537",37.44%,,
1016400001,JOHNSON,6,720,NYC HOUSING AUTHORITY,1947,1844 Lexington Avenue,New York City Housing Authority,Federal Public Housing,1948,,East Harlem,"$24,127,650","134,279","$35,097",59.31%,,1
1016400021,JOHNSON,5,587,NYC HOUSING AUTHORITY,1947,1833 Lexington Avenue,New York City Housing Authority,Federal Public Housing,1948,,East Harlem,"$23,527,350","134,279","$35,097",59.31%,,
1020100050,JOSEPH YANCEY HOUSES,1,66,"YANCEY, JOSEPH J. JR.",1998,140 West 142 Street,U.S. Department of Housing and Urban Development,Project Rental Assistance Contract / 202,2000,2020,Central Harlem,"$1,396,350","143,487","$46,537",37.44%,,
1008790027,KENMORE HALL ASSOCIATES LP.YR15.FY17,1,326,KENMORE ASSOCIATES LP,1928,143 East 23 Street,NYC Department of Housing Preservation and Development,LIHTC Year 15,2016,,Stuyvesant Town/Turtle Bay,"$8,314,200","141,162","$112,562",40.09%,1,
1015960001,KING TOWERS,10,527,NYC HOUSING AUTHORITY,1954,90 Lenox Avenue,New York City Housing Authority,Federal Public Housing,1954,,Central Harlem,"$23,044,050","143,487","$46,537",37.44%,,
1002530001,KNICKERBOCKER VILLAGE INC.,2,1590,KVI MEZZ CORP.,1935,2 Monroe Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2010,,Lower East Side/Chinatown,"$27,955,350","159,296","$42,014",72.15%,1,
1020380055,L&M HCCI 260 W 153RD STREET,1,51,HCCI WEST 153 HOUSING,,258 West 153 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2016,,Central Harlem,"$964,800","143,487","$46,537",37.44%,,
1002560001,LA GUARDIA,6,610,NYC CITY HSG AUTRHORI,1954,300 Cherry Street,New York City Housing Authority,Federal Public Housing,1957,,Lower East Side/Chinatown,"$21,109,950","159,296","$42,014",72.15%,,
1002580001,LA GUARDIA,4,492,NYC CITY HSG AUTRHORI,1955,318 Cherry Street,New York City Housing Authority,Federal Public Housing,1957,,Lower East Side/Chinatown,"$17,341,650","159,296","$42,014",72.15%,,
1002560014,LA GUARDIA ADDITION,1,150,NYC CITY HSG AUTRHORI,1965,272 Cherry Street,New York City Housing Authority,Federal Public Housing,1965,,Lower East Side/Chinatown,"$9,786,150","159,296","$42,014",72.15%,,
1019170046,LAFAYETTE GARDENS,1,10,"ABJ SIERRA, LLC",1910,134 West 133 Street,NYC Department of Housing Preservation and Development,LIHTC 4%,2002,2032,Central Harlem,"$58,268","143,487","$46,537",37.44%,,
1019170050,LAFAYETTE GARDENS,1,8,"ABJ SIERRA, LLC",1910,142 West 133 Street,NYC Department of Housing Preservation and Development,LIHTC 4%,2002,2032,Central Harlem,"$194,730","143,487","$46,537",37.44%,,
1016110001,LAKEVIEW APARTMENTS,3,,TERENCE CARDINAL COOK,1921,1240 5 Avenue,NYS Division of Housing and Community Renewal,Mitchell-Lama,1976,2022,East Harlem,"$37,368,450","134,279","$35,097",59.31%,,
1016110015,LAKEVIEW APARTMENTS,1,,TERENCE CARDINAL COOK,1974,1560 Madison Avenue,NYS Division of Housing and Community Renewal,Mitchell-Lama,1976,2022,East Harlem,"$6,326,100","134,279","$35,097",59.31%,,
1016120001,LAKEVIEW APARTMENTS,1,446,"106 STREET HOUSE, INC",1974,1250 5 Avenue,NYS Division of Housing and Community Renewal,Mitchell-Lama,1976,2022,East Harlem,"$9,904,500","134,279","$35,097",59.31%,1,
1002467501,Lands End 1,10,57,OWNER / AGENT,1986,291 Cherry Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2015,,Lower East Side/Chinatown,"$1,002,200","159,296","$42,014",72.15%,,
1002470001,Lands End II - Two Bridges A/k/a Cherry St.,2,490,HP CHERRY STREET HOUS,1979,251 Cherry Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2014,,Lower East Side/Chinatown,"$52,700,000","159,296","$42,014",72.15%,,1
1010410047,LANTERN. 330-332 WEST 51ST ST. STARDOM HALL,1,70,STARDOM HOUSING DEVEL,1920,330 West 51 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2014,,Chelsea/Clinton/Midtown,"$1,204,650","140,247","$103,538",55.39%,1,
1010410049,LANTERN. 330-332 WEST 51ST ST. STARDOM HALL,1,70,STARDOM HOUSING DEVEL,1920,332 West 51 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2014,,Chelsea/Clinton/Midtown,"$1,403,550","140,247","$103,538",55.39%,1,
1016130023,LEHMAN VILLAGE,3,272,NYC HOUSING AUTHORITY,1963,1595 Madison Avenue,New York City Housing Authority,Federal Public Housing,1963,,East Harlem,"$13,368,150","134,279","$35,097",59.31%,,
1016150023,LEHMAN VILLAGE,2,315,NYC HOUSING AUTHORITY,1963,1641 Madison Avenue,New York City Housing Authority,Federal Public Housing,1963,,East Harlem,"$14,577,750","134,279","$35,097",59.31%,,
1019370031,LENOX POWELL HOUSING,1,22,LENOX POWELL HOUSING,1910,2228 Adam C Powell Blvd,NYC Department of Housing Preservation and Development,LIHTC 4%,2009,2039,Central Harlem,"$1,142,100","143,487","$46,537",37.44%,1,
1015950001,LENOXVILLE APARTMENTS,3,118,LENOXVILLE ASSOCIATES,1920,20 Lenox Avenue,U.S. Department of Housing and Urban Development,Project-Based Section 8,2012,2032,Central Harlem,"$8,537,400","143,487","$46,537",37.44%,,
1003450009,LESPMHA HDFC,1,10,LESPMHA HOUSING DEVEL,1920,168 Attorney Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$418,958","159,296","$42,014",72.15%,,
1003490021,LESPMHA HDFC,1,9,LESPMHA HOUSING DEVEL,1900,45 Clinton Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$434,916","159,296","$42,014",72.15%,1,
1003500023,LESPMHA HDFC,2,19,LESPMHA HOUSING DEVEL,1920,13 Clinton Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$1,016,550","159,296","$42,014",72.15%,,
1003500039,LESPMHA HDFC,1,10,LESPMHA HOUSING DEVEL,1900,30 Clinton Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$270,000","159,296","$42,014",72.15%,,
1003550062,LESPMHA HDFC,2,26,LESPMHA HOUSING DEVEL,1900,167 Suffolk Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$432,450","159,296","$42,014",72.15%,1,
1003780004,LESPMHA HDFC,2,22,LESPMHA HOUSING DEVEL,1900,134 Avenue C,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$2,213,100","159,296","$42,014",72.15%,,1
1003890027,LESPMHA HDFC,1,5,LESPMHA HOUSING DEVEL,1900,218 East 7 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$489,381","159,296","$42,014",72.15%,,
1003910045,LESPMHA HDFC,2,12,LESPMHA HOUSING DEVEL,1900,327 East 8 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$1,631,250","159,296","$42,014",72.15%,,1
1003930006,LESPMHA HDFC,1,9,LESPMHA HOUSING DEVEL,1900,169 Avenue B,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$425,782","159,296","$42,014",72.15%,,
1003930007,LESPMHA HDFC,1,9,LESPMHA HOUSING DEVEL,1900,171 Avenue B,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$467,404","159,296","$42,014",72.15%,,
1003930008,LESPMHA HDFC,1,9,LESPMHA HOUSING DEVEL,1900,173 Avenue B,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$539,733","159,296","$42,014",72.15%,,
1003930040,LESPMHA HDFC,1,7,LESPMHA HOUSING DEVEL,1900,391 East 10 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$274,095","159,296","$42,014",72.15%,,
1003980055,LESPMHA HDFC,2,25,LESPMHA HOUSING DEVEL,1920,166 East 2 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$1,780,000","159,296","$42,014",72.15%,,1
1004020054,LESPMHA HDFC,1,5,LESPMHA HOUSING DEVEL,1900,523 East 6 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$104,661","159,296","$42,014",72.15%,,
1004040058,LESPMHA HDFC,1,5,LESPMHA HOUSING DEVEL,1900,295 East 10 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$351,959","159,296","$42,014",72.15%,,
1004050042,LESPMHA HDFC,1,15,LESPMHA HOUSING DEVEL,1900,539 East 11 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$389,700","159,296","$42,014",72.15%,,1
1004400050,LESPMHA HDFC,1,11,LESPMHA HOUSING DEVEL,1900,419 East 12 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,Lower East Side/Chinatown,"$141,300","159,296","$42,014",72.15%,,
1016260001,LEXINGTON,2,223,NYC HOUSING AUTHORITY,1951,1281 Park Avenue,New York City Housing Authority,Federal Public Housing,1951,,East Harlem,"$10,189,350","134,279","$35,097",59.31%,,
1016260021,LEXINGTON,2,225,NYC HOUSING AUTHORITY,1951,1539 Lexington Avenue,New York City Housing Authority,Federal Public Housing,1951,,East Harlem,"$11,200,950","134,279","$35,097",59.31%,,
1017670011,LEXINGTON COURTS,1,24,EAST HARLEM LEXINGTON,1920,125 East 118 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2009,,East Harlem,"$1,246,500","134,279","$35,097",59.31%,1,1
1017670022,LEXINGTON COURTS,1,42,EAST HARLEM LEXINGTON,1920,149 East 118 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2009,,East Harlem,"$2,282,850","134,279","$35,097",59.31%,,
1017670047,LEXINGTON COURTS,1,24,EAST HARLEM LEXINGTON,1920,166 East 119 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2009,,East Harlem,"$1,231,650","134,279","$35,097",59.31%,1,
1017670052,LEXINGTON COURTS,2,44,EAST HARLEM LEXINGTON,1915,154 East 119 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2009,,East Harlem,"$2,640,000","134,279","$35,097",59.31%,1,
1017680009,LEXINGTON COURTS,1,9,EAST HARLEM LEXINGTON,1920,121 East 119 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2009,,East Harlem,"$243,650","134,279","$35,097",59.31%,,
1017710014,LEXINGTON COURTS,1,21,EAST HARLEM LEXINGTON,1950,135 East 122 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2009,,East Harlem,"$1,078,650","134,279","$35,097",59.31%,,
